"prosocialDV","cond","N","score","sd","se","ci"
"connected","WHcontrol",15,2.9,1.9,0.346890953,0.961532665
"connected","WHsynchrony",15,4.5,1.4,0.25560386,0.708497753
"happy","WHcontrol",15,4.8,0.8,0.146059349,0.404855859
"happy","WHsynchrony",15,4.7,1.5,0.273861279,0.759104736
"sameteam","WHcontrol",48,3.71,1.43,0.145948764,0.404549334
"sameteam","WHsynchrony",48,5.31,1.34,0.136763177,0.379088187
"similar","WHcontrol",52,3.4,1.4,0.13662601,0.380524335
"similar","WHsynchrony",52,4.2,1.2,0.117108009,0.326163715
"trust","WHcontrol",15,4.1,1.1,0.200831604,0.556676806
"trust","WHsynchrony",15,5.6,1.3,0.237346442,0.657890771
"connected","neutral",107,2.97196261682243,1.50757798962963,0.145743065265707,0.288949802117102
"connected","sync",109,4.42201834862385,1.49253437197006,0.142958865306897,0.283369272015092
"happy","neutral",107,3.64485981308411,1.11805370351151,0.108086331189722,0.214291664251022
"happy","sync",109,3.85321100917431,1.12072800474442,0.107346274152766,0.212778938157495
"sameteam","neutral",107,3.91588785046729,1.66609641687469,0.1610676200461,0.319332222462484
"sameteam","sync",109,5.4954128440367,1.39193346219093,0.133323045736536,0.264269405972784
"similar","neutral",107,4.07476635514019,1.69182794175936,0.16355518044858,0.324264052904916
"similar","sync",109,4.62385321100917,1.46432256379736,0.140256664164754,0.278013040564572
"trust","neutral",107,2.82242990654206,1.27983698926745,0.123726511755518,0.245299843414288
"trust","sync",109,3.76146788990826,1.47760493497646,0.141528884589295,0.28053480215502
