"V8","V9","id","cond","complete","info","consent","intro","sync","neutral","inst.sync","inst.neutral","coordinated.study2_9","sameteam.study2_1","connected.study1_1","trust.study1_1","similar.study2_1","happy.study1_1","frustrated.study2_1","manipcheck.study2_1","attn_1","race","hispanic.latino","memory","gender","gender_TEXT","age","DO.BR.FL_8","DO.BL.Demo","DO.Q.memory","LocationLatitude","LocationLongitude","LocationAccuracy","difftime","HowSynch","SameTeam","Connected","Trust","Similar","Happy","studytype"
0018-07-09 19:11:00,0018-07-09 19:14:00,180130,"sync",1,1,"<span style=""font-size:19px;"">Yes, I understand and wish to continue</span>",1,1,NA,1,NA,3,5,4,4,3,1,7,3,3,"White","No","Take a walk around campus, and walk in synchrony.  Do not talk with one another.","Female",NA,17,"FL_5","race|hispanic/latino|memory|gender|age","5|2|1|6",40.35949707,-74.26280212,-1,3,3,5,4,4,3,1,"imagined"
0018-07-09 21:32:00,0018-07-09 21:39:00,180388,"sync",1,1,"<span style=""font-size:19px;"">Yes, I understand and wish to continue</span>",1,1,NA,1,NA,5,7,7,6,6,4,4,6,3,"More than One Race","Yes","Take a walk around campus, and walk in synchrony.  Do not talk with one another.","Female",NA,17,"FL_5","race|hispanic/latino|age|gender|memory","5|6|2|1",42.38000488,-71.13289642,-1,7,6,7,7,6,6,4,"imagined"
0018-07-10 09:46:00,0018-07-10 09:51:00,180235,"sync",1,1,"<span style=""font-size:19px;"">Yes, I understand and wish to continue</span>",1,1,NA,1,NA,6,7,6,6,5,5,3,6,3,"White","No","Take a walk around campus, and walk in synchrony.  Do not talk with one another.","Male",NA,59,"FL_5","race|hispanic/latino|age|memory|gender","1|6|5|2",41.51119995,-71.37779999,-1,5,6,7,6,6,5,5,"imagined"
0018-07-10 12:23:00,0018-07-10 12:26:00,180835,"sync",1,1,"<span style=""font-size:19px;"">Yes, I understand and wish to continue</span>",1,1,NA,1,NA,2,5,2,4,5,4,3,5,3,"Asian","No","Take a walk around campus, and walk in synchrony.  Do not talk with one another.","Female",NA,17,"FL_5","race|hispanic/latino|age|memory|gender","2|5|6|1",42.38000488,-71.13289642,-1,3,5,5,2,4,5,4,"imagined"
0018-07-10 19:11:00,0018-07-10 19:15:00,180250,"sync",1,1,"<span style=""font-size:19px;"">Yes, I understand and wish to continue</span>",1,1,NA,1,NA,2,6,2,1,2,2,5,6,3,"Asian","No","Take a walk around campus, and walk in synchrony.  Do not talk with one another.","Female",NA,18,"FL_5","race|hispanic/latino|age|memory|gender","1|5|2|6",42.38000488,-71.13289642,-1,4,6,6,2,1,2,2,"imagined"
0018-07-11 08:47:00,0018-07-11 08:49:00,181027,"sync",1,1,"<span style=""font-size:19px;"">Yes, I understand and wish to continue</span>",1,1,NA,1,NA,7,7,5,4,6,3,2,7,3,"White","No","Take a walk around campus, and walk in synchrony.  Do not talk with one another.","Female",NA,28,"FL_5","race|hispanic/latino|age|memory|gender","6|1|2|5",40.76620483,-73.98619843,-1,2,7,7,5,4,6,3,"imagined"
0018-07-11 09:08:00,0018-07-11 09:09:00,180037,"sync",1,1,"<span style=""font-size:19px;"">Yes, I understand and wish to continue</span>",1,1,NA,1,NA,7,5,4,2,3,4,4,7,3,"Asian","No","Take a walk around campus, and walk in synchrony.  Do not talk with one another.","Female",NA,17,"FL_5","race|hispanic/latino|age|memory|gender","5|1|6|2",42.39549255,-71.18160248,-1,1,7,5,4,2,3,4,"imagined"
0018-07-11 14:35:00,0018-07-11 14:38:00,181039,"sync",1,1,"<span style=""font-size:19px;"">Yes, I understand and wish to continue</span>",1,1,NA,1,NA,5,6,6,4,4,5,5,6,3,"More than One Race","No","Take a walk around campus, and walk in synchrony.  Do not talk with one another.","Female",NA,17,"FL_5","race|hispanic/latino|gender|memory|age","5|2|6|1",42.38000488,-71.13289642,-1,3,6,6,6,4,4,5,"imagined"
0018-07-12 08:44:00,0018-07-12 08:47:00,180592,"sync",1,1,"<span style=""font-size:19px;"">Yes, I understand and wish to continue</span>",1,1,NA,1,NA,6,7,5,4,7,4,4,4,3,"White","No","Take a walk around campus, and walk in synchrony.  Do not talk with one another.","Male",NA,16,"FL_5","race|hispanic/latino|memory|gender|age","1|6|2|5",42.38000488,-71.13289642,-1,3,4,7,5,4,7,4,"imagined"
0018-07-12 09:19:00,0018-07-12 09:22:00,180424,"sync",1,1,"<span style=""font-size:19px;"">Yes, I understand and wish to continue</span>",1,1,NA,1,NA,5,6,4,4,4,3,5,6,3,"Asian","No","Take a walk around campus, and walk in synchrony.  Do not talk with one another.","Female",NA,17,"FL_5","race|hispanic/latino|age|gender|memory","5|6|1|2",42.38000488,-71.13289642,-1,3,6,6,4,4,4,3,"imagined"
0018-07-12 10:15:00,0018-07-12 10:17:00,180841,"sync",1,1,"<span style=""font-size:19px;"">Yes, I understand and wish to continue</span>",1,1,NA,1,NA,6,6,5,3,4,5,1,6,3,"More than One Race","Yes","Take a walk around campus, and walk in synchrony.  Do not talk with one another.","Female",NA,15,"FL_5","race|hispanic/latino|gender|memory|age","1|6|2|5",42.38000488,-71.13289642,-1,2,6,6,5,3,4,5,"imagined"
0018-07-12 13:21:00,0018-07-12 13:23:00,180586,"sync",1,1,"<span style=""font-size:19px;"">Yes, I understand and wish to continue</span>",1,1,NA,1,NA,6,3,3,2,6,3,4,5,3,"Asian","No","Take a walk around campus, and walk in synchrony.  Do not talk with one another.","Female",NA,16,"FL_5","race|hispanic/latino|gender|age|memory","5|6|1|2",42.38000488,-71.13289642,-1,2,5,3,3,2,6,3,"imagined"
0018-07-12 21:01:00,0018-07-12 21:04:00,180484,"sync",1,1,"<span style=""font-size:19px;"">Yes, I understand and wish to continue</span>",1,1,NA,1,NA,4,6,6,4,5,4,6,4,3,"Asian","No","Take a walk around campus, and walk in synchrony.  Do not talk with one another.","Female",NA,16,"FL_5","race|hispanic/latino|age|gender|memory","1|2|5|6",42.37309265,-71.0161972,-1,3,4,6,6,4,5,4,"imagined"
0018-07-14 20:47:00,0018-07-14 20:50:00,180520,"sync",1,1,"<span style=""font-size:19px;"">Yes, I understand and wish to continue</span>",1,1,NA,1,NA,5,6,3,1,4,4,1,6,3,"Prefer not to say","No","Take a walk around campus, and walk in synchrony.  Do not talk with one another.","Female",NA,16,"FL_5","race|hispanic/latino|memory|gender|age","5|2|6|1",42.38000488,-71.13289642,-1,3,6,6,3,1,4,4,"imagined"
0018-07-15 15:21:00,0018-07-15 15:31:00,180490,"sync",1,1,"<span style=""font-size:19px;"">Yes, I understand and wish to continue</span>",1,1,NA,1,NA,4,3,2,2,2,4,4,5,3,"Asian","No","Take a walk around campus, and walk in synchrony.  Do not talk with one another.","Female",NA,16,"FL_5","race|hispanic/latino|memory|gender|age","6|1|5|2",42.38000488,-71.13289642,-1,10,5,3,2,2,2,4,"imagined"
